stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,tts_stop_name
445932,40299,Magnolia Ave & Skylark Dr,,37.944588,-122.543015,,,0,,,,,Magnolia Avenue & Skylark Drive
1877100,40300,Magnolia Ave & Dartmouth Dr,,37.945011,-122.542938,,,0,,,,,Magnolia Avenue & Dartmouth Drive
445933,40301,Magnolia Ave & Bon Air Rd,,37.943031,-122.540535,,,0,,,1,,Magnolia Avenue & Bawn Air Road
1877099,40302,Magnolia Ave & Bon Air Rd,,37.943386,-122.54071,,,0,,,1,,Magnolia Avenue & Bawn Air Road
445910,40303,Magnolia Av & Ward St,,37.935921,-122.535309,,,0,,,1,,Magnolia Avenue & Ward Street
445909,40304,Magnolia Av & Ward St,,37.936222,-122.53508,,,0,,,1,,Magnolia Avenue & Ward Street
445911,40305,Magnolia Av & Madrone Av,,37.932579,-122.536064,,,0,,,1,,Magnolia Avenue & Madrone Avenue
445908,40306,Magnolia Av & Madrone Av,,37.932655,-122.535934,,,0,,,,,Magnolia Avenue & Madrone Avenue
445912,40307,Magnolia Av & Park Way,,37.929089,-122.53344,,,0,,,,,Magnolia Avenue & Park Way
445907,40308,Magnolia Av & Alexander Av,,37.92947,-122.53392,,,0,,,1,,Magnolia Avenue & Alexander Avenue
934571,40309,Doherty Dr & Larkspur Plaza Dr,,37.938156,-122.532867,,,0,,,1,,Doherty Drive & Larkspur Plaza Drive
937425,40310,Doherty Dr & Larkspur Plaza Dr,,37.938232,-122.533646,,,0,,,,,Doherty Drive & Larkspur Plaza Drive
8592897,40311,Redwood High & Doherty Dr,,37.937999,-122.527866,,,0,,,1,,Redwood High & Doherty Drive
8593350,40312,Redwood High & Doherty Dr,,37.938121,-122.527944,,,0,,,,,Redwood High & Doherty Drive
230294,40313,Lucky Dr & Riviera Circle,,37.937267,-122.521591,,,0,,,,,Lucky Drive & Riviera Circle
237322,40314,Lucky Dr & Riviera Circle,,37.93765584979764,-122.5211407,,,0,,,1,,Lucky Drive & Riviera Circle
498090,40315,Sir Francis Drake Blvd & Mcallister Av,,37.953232,-122.539986,,,0,,,1,,Sir Francis Drake Boulevard & Mcallister Avenue
498091,40316,Sir Francis Drake Blvd & Wolfe Grade,,37.952747,-122.538094,,,0,,,,,Sir Francis Drake Boulevard & Wolfe Grade
445925,40317,Sir Francis Drake Blvd & Wolfe Grade,,37.953217,-122.538895,,,0,,,,,Sir Francis Drake Boulevard & Wolfe Grade
498052,40318,Sir Francis Drake Blvd & Bon Air Rd,,37.950314,-122.533501,,,0,,,,,Sir Francis Drake Boulevard & Bawn Air Road
498051,40319,Sir Francis Drake Blvd & Bon Air Rd,,37.95071,-122.533859,,,0,,,,,Sir Francis Drake Boulevard & Bawn Air Road
498043,40320,Sir Francis Drake Blvd & El Portal Dr,,37.94828,-122.527359,,,0,,,1,,Sir Francis Drake Boulevard & El Portal Drive
498041,40321,Sir Francis Drake Blvd & El Portal Dr,,37.948906,-122.528458,,,0,,,,,Sir Francis Drake Boulevard & El Portal Drive
498044,40322,Sir Francis Drake Blvd & La Cuesta Dr,,37.947281,-122.524826,,,0,,,1,,Sir Francis Drake Boulevard & La Cuesta Drive
498040,40323,Sir Francis Drake Blvd & La Cuesta Dr,,37.94783083,-122.5256681,,,0,,,,,Sir Francis Drake Boulevard & La Cuesta Drive
498045,40324,Sir Francis Drake Blvd & Eliseo Dr,,37.945427,-122.520111,,,0,,,1,,Sir Francis Drake Boulevard &  Elleseeo Drive
498039,40325,Sir Francis Drake Blvd & Eliseo Dr,,37.945808,-122.520439,,,0,,,1,,Sir Francis Drake Boulevard &  Elleseeo Drive
934403,40327,Doherty Dr & Hall Middle School,,37.938225,-122.531624,,,0,,,1,,Doherty Drive & Hall Middle School
1565763,40330,College of Marin College Av & Sir Francis Drake,,37.954727,-122.548241,,,0,,,1,,College of Muhrin College Avenue & Sir Francis Drake
498086,40332,Sir Francis Drake Blvd Opposite 1111 Sir Francis,,37.959251,-122.55246,,,0,,,,,Sir Francis Drake Boulevard Opposite one thousand one hundred and eleven Sir Francis
498079,40333,1111 Sir Francis Drake Blvd,,37.959709,-122.55291,,,0,,,1,,one thousand one hundred and eleven Sir Francis Drake boulevard
498087,40334,College of Marin - Sir Francis Drake Blvd & Elm Av,,37.956234,-122.548515,,,0,,,1,,College of Muhrin - Sir Francis Drake Boulevard & Elm Avenue
498078,40335,College Of Marin Sir Francis Drake Blvd & Maple,,37.956626,-122.548727,,,0,,,1,,College Of Muhrin Sir Francis Drake Boulevard & Maple
498088,40336,Sir Francis Drake Blvd & Ash Av,,37.954296,-122.546021,,,0,,,1,,Sir Francis Drake Boulevard & Ash Avenue
445928,40337,Sir Francis Drake Blvd & Ash Ave,,37.954319,-122.545692,,,0,,,1,,Sir Francis Drake Boulevard & Ash Avenue
498089,40338,Sir Francis Drake Blvd & Rosebank Dr,,37.953602,-122.54332,,,0,,,1,,Sir Francis Drake Boulevard & Rosebank Drive
445927,40339,Sir Francis Drake Blvd & Oak Ave,,37.953861,-122.543083,,,0,,,1,,Sir Francis Drake Boulevard & Oak Avenue
445926,40340,Sir Francis Drake Blvd & Laurel Grove Ave,,37.953629,-122.540848,,,0,,,1,,Sir Francis Drake Boulevard & Laurel Grove Avenue
498085,40341,Ross Sir Francis Drake Blvd & Lagunitas Rd,,37.962399,-122.555741,,,0,,,1,,Ross Sir Francis Drake Boulevard & Lahguh nitas Road
498080,40342,Ross Sir Francis Drake Blvd & Lagunitas Rd,,37.962734,-122.555855,,,0,,,1,,Ross Sir Francis Drake Boulevard & Lahguh nitas Road
445929,40349,College of Marin College Ave & Sir Francis Drake,,37.954258,-122.54863,,,0,,,1,,College of Muhrin College Avenue & Sir Francis Drake
350697,40390,Lincoln Ave & Wilson Ct,,37.986759,-122.526596,,,0,,,1,,Lincoln Avenue & Wilson Court
350325,40391,Lincoln Ave & Wilson Ct,,37.986877,-122.526527,,,0,,,1,,Lincoln Avenue & Wilson Court
71739,40392,Lincoln Ave & Grand Ave,,37.98373,-122.524635,,,0,,,1,,Lincoln Avenue & Grand Avenue
71837,40393,Lincoln Ave & Grand Ave,,37.98407,-122.524712,,,0,,,1,,Lincoln Avenue & Grand Avenue
934773,40394,Lincoln Ave & Linden Ln,,37.980564,-122.522621,,,0,,,1,,Lincoln Avenue & Linden Lane
350319,40395,Lincoln Ave & Linden Ln,,37.981155,-122.522812,,,0,,,1,,Lincoln Avenue & Linden Lane
934774,40396,Lincoln Ave & Paloma Ave,,37.978031,-122.522209,,,0,,,1,,Lincoln Avenue & Paloma Avenue
1868651,40397,Lincoln Ave & Paloma Ave,,37.978073,-122.522049,,,0,,,1,,Lincoln Avenue & Paloma Avenue
934775,40398,Lincoln Ave & Mission Ave,,37.97419,-122.523514,,,0,,,,,Lincoln Avenue & Mission Avenue
1868650,40399,Lincoln Ave & Mission Ave,,37.974483,-122.523285,,,0,,,1,,Lincoln Avenue & Mission Avenue
237365,40404,Grand Av & Linden Ln,,37.982319,-122.520737,,,0,,,1,,Grand Avenue & Linden Lane
71830,40405,Grand Av & Linden Ln,,37.982498,-122.520859,,,0,,,,,Grand Avenue & Linden Lane
71746,40406,Grand Av & Mountain View Av,,37.981186,-122.516907,,,0,,,1,,Grand Avenue & Mountain View Avenue
71826,40407,Grand Av & Mountain View Av,,37.981342,-122.516937,,,0,,,1,,Grand Avenue & Mountain View Avenue
